stratum	fuzzy	mpn	size	n_mismatch	signature	opc_jaccard	LSobj_imm	LSr1_imm	unit	symbol
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/OriginalChoreoRemixer	??$__uninitialized_fill_n@PAV?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@stlpmtx_std@@IV12@@stlpmtx_std@@YAPAV?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@0@PAV10@IABV10@ABU__false_type@0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/Leaderboard	??$__uninitialized_fill_n@PAVLeaderboardRow@@IV1@@stlpmtx_std@@YAPAVLeaderboardRow@@PAV1@IABV1@ABU__false_type@0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/system/synth/OggMap	?Read@OggMap@@QAAXAAVBinStream@@@Z
>=99	99.958	99.958	1336	14	SOURCE_ARGVAL	1.0	0	0	default/DataFlex	yylex
>=99	99.957	100.000	4676	8	CODEGEN_REGALLOC	1.0	0	0	default/RockCentral	?RecordAccomplishmentData@RockCentral@@QAAXPBVProfile@@PAVAccomplishmentProgress@@HPAVObject@Hmx@@AAVDataResultList@@@Z
>=99	99.957	99.957	460	5	SOURCE_ARGVAL	1.0	0	0	default/Env_NG	?EstimateDraw@@YAMH@Z
>=99	99.955	99.955	88	1	SOURCE_ARGVAL	1.0	0	0	default/system/obj/Dir	??$remove_if@PAVFilePath@@P6A_NABV1@@Z@stlpmtx_std@@YAPAVFilePath@@PAV1@0P6A_NABV1@@Z@Z
>=99	99.955	99.955	88	1	SOURCE_ARGVAL	1.0	0	0	default/band3/meta_band/MusicLibraryNetSetlists	?clear@?$_List_base@VSetlistArtRecord@MusicLibraryNetSetlists@@V?$StlNodeAlloc@VSetlistArtRecord@MusicLibraryNetSetlists@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ
>=99	99.955	99.955	440	5	SOURCE_ARGVAL	1.0	0	2	default/SampleData	?Load@SampleData@@QAAXAAVBinStream@@ABVFilePath@@@Z
>=99	99.954	100.000	876	1	CODEGEN_REGALLOC	1.0	0	0	default/CharIKFingers	?Poll@CharIKFingers@@UAAXXZ
>=99	99.954	100.000	864	1	CODEGEN_REGALLOC	1.0	0	0	default/Synapse_dsp	?ProcessInPlace@Synapse@1DSP@@QAAXIPAM@Z
