obj	obj_conf	unit_suggest	unit_src	cls	label_votes	label_conf	n_fns	n_template	n_arbitrary	n_objres	span_lo	span_hi	span_bytes	owned_bytes	overlap_pinned	overlap_sibling	flags
d3dx9:ccodec.obj	1.000	xdk/d3dx9/ccodec.cpp	DC3	CCodecYUV,CCodec_D3DX_A16L16,CCodec_D3DX_R16G16B16	3	0.500	6	0	0	6	0x82885590	0x828860BC	2860	2848	0	0	-
d3dx9:clock.obj	1.000	xdk/d3dx9/clock.cpp	DC3	CLockSurface,CLockVolume,D3DXTex	2	0.250	8	0	0	8	0x8287B2A0	0x8287BD90	2800	2776	0	0	-
xgraphics:endian.obj	1.000	xdk/xgraphics/endian.cpp	DC3	-	0	0.000	7	0	0	7	0x82943DF0	0x829448CC	2780	2764	0	0	-
LIBCMT:fpexcept.obj	1.000	xdk/LIBCMT/fpexcept.cpp	DC3	-	0	0.000	9	0	0	9	0x82832388	0x82832E44	2748	2736	0	0	-
d3dx9:cbaseprogram.obj	1.000	xdk/d3dx9/cbaseprogram.cpp	DC3	CBaseProgram	12	0.857	14	0	0	14	0x828E5AA0	0x828E6558	2744	2728	0	0	-
xaudio2:leapfxlib.obj	1.000	xdk/xaudio2/leapfxlib.cpp	DC3	CMemoryBucket,CMemoryPool,CMemoryHelper	3	0.200	15	0	0	15	0x82BBE810	0x82BBF2B0	2720	2692	0	0	-
d3dx9:trees.obj	1.000	xdk/d3dx9/trees.cpp	DC3	D3DX	3	1.000	3	0	0	3	0x8292FE70	0x829308E8	2680	2676	0	0	-
d3dx9:c30swprogram.obj	1.000	xdk/d3dx9/c30swprogram.cpp	DC3	C30SWProgram	4	1.000	4	0	0	4	0x828C15D8	0x828C2054	2684	2652	0	0	-
d3dx9:cparse.obj	1.000	xdk/d3dx9/cparse.cpp	DC3	CParse	3	1.000	3	0	0	3	0x82905F58	0x82906978	2592	2588	0	0	-
xaudio2:wmaltrt.obj	1.000	xdk/xaudio2/wmaltrt.cpp	DC3	xWMA	5	1.000	5	0	0	5	0x82BFA658	0x82BFB078	2592	2584	0	0	-
xgraphics:emit.obj	1.000	xdk/xgraphics/emit.cpp	DC3	Compiler,Instruction,D3DXShader	9	0.429	21	1	0	21	0x8295A748	0x8295B15C	2580	2536	0	0	-
xaudio2:x2xmahal.obj	1.000	xdk/xaudio2/x2xmahal.cpp	DC3	-	0	0.000	14	0	0	14	0x82BCEEA8	0x82BCF89C	2548	2528	0	0	-
xaudio2:oapreverb.obj	1.000	xdk/xaudio2/oapreverb.cpp	DC3	COAPReverbMono,COAPReverbFromMonoTo5Point1,COAPReverbStereo	1	0.167	6	0	0	6	0x82BDC3D8	0x82BDCD94	2492	2480	0	0	-
xgraphics:dominator.obj	1.000	xdk/xgraphics/dominator.cpp	DC3	Dominator	6	0.750	8	0	0	8	0x82A5B220	0x82A5BB94	2420	2408	0	0	-
xaudio2:swvoice.obj	1.000	xdk/xaudio2/swvoice.cpp	DC3	CSWVoice	7	0.778	9	2	0	9	0x82C08F48	0x82C098BC	2420	2404	0	0	-
xonline:marshal.obj	1.000	xdk/xonline/marshal.cpp	DC3	CMarshaller	4	1.000	4	0	0	4	0x82A6BD40	0x82A6C6A0	2400	2400	0	0	-
xgraphics:constreg.obj	1.000	xdk/xgraphics/constreg.cpp	DC3	Instruction,Compiler,D3DXShader	2	0.118	17	11	0	17	0x829816C0	0x82982034	2420	2396	0	0	-
xgraphics:vectorize.obj	1.000	xdk/xgraphics/vectorize.cpp	DC3	Compiler,Instruction,Dependency	8	0.615	13	0	0	13	0x829911E0	0x82991B40	2400	2380	0	0	-
xhv2:remotetalker.obj	1.000	xdk/xhv2/remotetalker.cpp	DC3	-	0	0.000	11	0	0	11	0x82C1C0C0	0x82C1CA18	2392	2364	0	0	-
d3dx9:cnode.obj	1.000	xdk/d3dx9/cnode.cpp	DC3	CNodeProgram,CNodeScope,CNodeDecl	2	0.167	12	0	0	12	0x828B25D8	0x828B2EC4	2284	2256	0	0	-
xgraphics:ccodec.obj	1.000	xdk/xgraphics/ccodec.cpp	DC3	CCodecYUV	2	0.667	3	0	0	3	0x82A08620	0x82A08E94	2164	2160	0	0	-
xgraphics:xenoncompress.obj	1.000	xdk/xgraphics/xenoncompress.cpp	DC3	-	0	0.000	3	0	0	3	0x829461C8	0x82946A34	2156	2148	0	0	-
xaudio2:losslessdecpro.obj	1.000	xdk/xaudio2/losslessdecpro.cpp	DC3	xWMA	4	1.000	4	0	0	4	0x82C016F0	0x82C01F20	2096	2096	0	0	-
xgraphics:dxtn.obj	1.000	xdk/xgraphics/dxtn.cpp	DC3	XG_D3DXTex	5	1.000	5	0	0	5	0x82A32010	0x82A32824	2068	2060	0	0	-
xgraphics:vreginfo.obj	1.000	xdk/xgraphics/vreginfo.cpp	DC3	VRegInfo,ExportValue,Interpolator	8	0.615	13	0	0	13	0x82A56D60	0x82A57574	2068	2052	0	0	-
xgraphics:r400_addrenum.obj	1.000	xdk/xgraphics/r400_addrenum.cpp	DC3	XGRAPHICS	1	0.167	6	0	0	6	0x82A55BD0	0x82A563C0	2032	2024	0	0	-
xgraphics:vector.obj	1.000	xdk/xgraphics/vector.cpp	DC3	InternalVector,InternalHashTable,InternalHashTableIterator	5	0.417	12	0	0	12	0x82A56568	0x82A56D60	2040	2020	0	0	-
d3dx9:cuassembler.obj	1.000	xdk/d3dx9/cuassembler.cpp	DC3	CUAssembler,ValidatorOutputCallbackContext	3	0.600	5	0	0	5	0x828B7ED0	0x828B8688	1976	1964	0	0	-
d3dx9:dxtn.obj	1.000	xdk/d3dx9/dxtn.cpp	DC3	D3DXTex	3	1.000	3	0	0	3	0x828B1380	0x828B1B24	1956	1956	0	0	-
zlib:trees.obj	1.000	system/zlib/trees.c	DC3	-	0	0.000	3	0	0	3	0x82B58FB0	0x82B59748	1944	1940	0	0	-
xaudio2:wmabuffilt.obj	1.000	xdk/xaudio2/wmabuffilt.cpp	DC3	xWMA	7	1.000	7	0	0	7	0x82C0EAD8	0x82C0F25C	1924	1912	0	0	-
d3d9i:shader.obj	1.000	xdk/d3d9i/shader.cpp	DC3	D3D	2	0.400	5	2	0	5	0x8285C5A0	0x8285CCEC	1868	1860	0	0	-
xgraphics:liveness.obj	1.000	xdk/xgraphics/liveness.cpp	DC3	CFG,bitset	5	0.833	6	0	0	6	0x82A65F98	0x82A666E8	1872	1856	0	0	-
d3dx9:d3dx9fragment.obj	1.000	xdk/d3dx9/d3dx9fragment.cpp	DC3	D3DXShader,CFragmentConstants	2	0.667	3	0	0	3	0x828B6280	0x828B6998	1816	1812	0	0	-
xaudio2:x2voiceoutput.obj	1.000	xdk/xaudio2/x2voiceoutput.cpp	DC3	CX2OutputVoice	2	0.667	3	0	0	3	0x82BD44B0	0x82BD4B94	1764	1760	0	0	-
xgraphics:regopt.obj	1.000	xdk/xgraphics/regopt.cpp	DC3	Compiler,InfiniteLocalRegisterSet	3	0.429	7	2	0	7	0x82967C88	0x82968364	1756	1740	0	0	-
xaudio2:msaudio.obj	1.000	xdk/xaudio2/msaudio.cpp	DC3	xWMA	4	1.000	4	0	0	4	0x82BF9F88	0x82BFA658	1744	1740	0	0	-
xgraphics:import.obj	1.000	xdk/xgraphics/import.cpp	DC3	Compiler	10	0.909	11	1	0	11	0x829E8B80	0x829E9264	1764	1736	0	0	-
xgraphics:ccodec.obj	1.000	xdk/xgraphics/ccodec.cpp	DC3	CCodec	3	0.500	6	0	0	6	0x829FFAF8	0x82A00194	1692	1688	0	0	-
xaudio2:entropydecprolsl.obj	1.000	xdk/xaudio2/entropydecprolsl.cpp	DC3	xWMA	3	1.000	3	0	0	3	0x82BFD1C0	0x82BFD84C	1676	1672	0	0	-
d3dx9:ccodec.obj	1.000	xdk/d3dx9/ccodec.cpp	DC3	CCodec_Q16W16V16U16,CCodec_R16F,CCodec_G16R16F	1	0.200	5	0	0	5	0x82882710	0x82882D94	1668	1668	0	0	-
xgraphics:finalopts.obj	1.000	xdk/xgraphics/finalopts.cpp	DC3	Instruction,MachineState,Dependency	3	0.333	9	2	0	9	0x82964FA0	0x82965628	1672	1664	0	0	-
