# sympair queue -- rows realizable by relocation-NAME correction alone.
# Generated by tools/sympair_queue.py (lane W7-SYMPAIR, from W2-ENGINE's charged.py/sweep.py).
# ⚠ A pair here is EITHER a wrong map name (fixable, pays) OR an ICF fold
#   (irreducible). The metric CANNOT separate them -- adjudicate on retail
#   bytes with tools/retail_callers.py using tgt_addr below.
# size_if_it_crosses = bytes this row adds to matched_code IF every pair is fixed.
# pair_class: FOLD_FANIN=irreducible ICF survivor · RECIPROCAL=transposed
#   map bijection (a fold cannot transpose across two addresses) ·
#   OURS_UNMAPPED=our callee has no retail address (identification backlog).
# map_arbitrary: target addr is in the map's own _bijection_arbitrary/_icf_arbitrary list.
size	fuzzy	mpn	class	pair_class	map_arbitrary	unit	categories	symbol	n_pairs	sites	tgt_addr	target_symbol	our_symbol
3084	99.54604	100.000	SYMPAIR_ONLY_2	FOLD_FANIN	no	default/ShaderOptions	engine	?GenerateMacros@ShaderOptions@@QBAXW4ShaderType@@AAV?$vector@UShaderMacro@@V?$StlNodeAlloc@UShaderMacro@@@stlpmtx_std@@@stlpmtx_std@@@Z	2	69	0x826e9710	?push_back@?$vector@U?$pair@PBVVocalPhrase@@PAVVocalPart@@@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@PBVVocalPhrase@@PAVVocalPart@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAXABU?$pair@PBVVocalPhrase@@PAVVocalPart@@@2@@Z	?push_back@?$vector@UShaderMacro@@V?$StlNodeAlloc@UShaderMacro@@@stlpmtx_std@@@stlpmtx_std@@QAAXABUShaderMacro@@@Z
3084	99.54604	100.000	SYMPAIR_ONLY_2	FOLD_FANIN	no	default/ShaderOptions	engine	?GenerateMacros@ShaderOptions@@QBAXW4ShaderType@@AAV?$vector@UShaderMacro@@V?$StlNodeAlloc@UShaderMacro@@@stlpmtx_std@@@stlpmtx_std@@@Z	2	1	0x82453970	?reserve@?$vector@VVector2@@V?$StlNodeAlloc@VVector2@@@stlpmtx_std@@@stlpmtx_std@@QAAXI@Z	?reserve@?$vector@UShaderMacro@@V?$StlNodeAlloc@UShaderMacro@@@stlpmtx_std@@@stlpmtx_std@@QAAXI@Z
2664	99.99249	100.000	SYMPAIR_ONLY_1	OURS_UNMAPPED	no	default/UIList	engine	?SyncProperty@UIList@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	1	1	0x8280e248	??0?$reverse_iterator@PAH@stlpmtx_std@@QAA@PAH@Z	?SetMaxDisplay@UIListState@@QAAXH@Z
2644	99.99244	100.000	SYMPAIR_ONLY_1	OURS_UNMAPPED	no	default/ChordShapeGenerator	engine	?SyncProperty@ChordShapeGenerator@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	1	1	0x8235c2e0	?SyncProperty@Tour@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	?SyncProperty@Object@Hmx@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
2496	99.96795	100.000	SYMPAIR_ONLY_2	FOLD_FANIN	no	default/DataArraySongInfo	engine	??0DataArraySongInfo@@QAA@PAVDataArray@@0VSymbol@@@Z	2	2	0x823715e0	?reserve@?$vector@PAUDep@CharPollableSorter@@V?$StlNodeAlloc@PAUDep@CharPollableSorter@@@stlpmtx_std@@@stlpmtx_std@@QAAXI@Z	?reserve@?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAXI@Z
2496	99.96795	100.000	SYMPAIR_ONLY_2	FOLD_FANIN	no	default/DataArraySongInfo	engine	??0DataArraySongInfo@@QAA@PAVDataArray@@0VSymbol@@@Z	2	2	0x823715e0	?reserve@?$vector@PAUDep@CharPollableSorter@@V?$StlNodeAlloc@PAUDep@CharPollableSorter@@@stlpmtx_std@@@stlpmtx_std@@QAAXI@Z	?reserve@?$vector@MV?$StlNodeAlloc@M@stlpmtx_std@@@stlpmtx_std@@QAAXI@Z
2320	99.99138	100.000	SYMPAIR_ONLY_1	UNKNOWN	no	default/CharMeshHide	engine	?Handle@Synth@@UAA?AVDataNode@@PAVDataArray@@_N@Z	1	1	0x826fe3a8	??$Find@VFlow@@@Synth@@QAAPAVFlow@@PBD_N@Z	??$Find@VObject@Hmx@@@Synth@@QAAPAVObject@Hmx@@PBD_N@Z
2260	99.99115	100.000	SYMPAIR_ONLY_1	OURS_UNMAPPED	no	default/MusicLibrary	game	?SelectNode@MusicLibrary@@QAAXPAVSortNode@@PAVLocalBandUser@@_N@Z	1	1	0x8253d820	?RemoveLastSongFromSetlist@MusicLibrary@@QAAXXZ	?PushSetlistToScreen@MusicLibrary@@QAAXXZ
2196	99.98179	100.000	SYMPAIR_ONLY_2	OURS_UNMAPPED	no	default/TourPerformer	game	?Handle@TourPerformerImpl@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x823609f8	?GetCurrentQuestSuccessMessage@TourPerformerImpl@@QBA?AVSymbol@@XZ	?GetCurrentQuestDisplayName@TourPerformerImpl@@QBA?AVSymbol@@XZ
2196	99.98179	100.000	SYMPAIR_ONLY_2	OURS_UNMAPPED	no	default/TourPerformer	game	?Handle@TourPerformerImpl@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x82360fb0	?SetDancer@AppLabel@@QAAXVSymbol@@@Z	?UpdateTourPlayerContributionLabel@TourPerformerImpl@@QAAXPAVUILabel@@PAVBandUser@@@Z
