unit	sym	billed	fuzzy	mpn	cls	n_charged	same_opcode_multiset	argkinds	src
default/SpotlightDrawer_NG	?SetupXSection@NgSpotlightDrawer@@IAAXPAVSpotlight@@ABUBeamDef@2@@Z	2104	32.730038	35.268063	SOURCE_INSDEL	501	False	{'relocname': 7, 'immediate': 59, 'register': 260, 'opcode': 23}	src/system/world/SpotlightDrawer_NG.cpp
default/CharIKFingers	?SetName@CharIKFingers@@UAAXPBDPAVObjectDir@@@Z	2076	99.21002	99.22929	CODEGEN_ORDERING	5	True	{'register': 2}	src/system/char/CharIKFingers.cpp
default/Crowd	?DrawShowing@WorldCrowd@@UAAXXZ	2072	86.9807	88.38031	SOURCE_INSDEL	217	False	{'immediate': 80, 'register': 144, 'relocname': 4, 'opcode': 2, 'branchdest': 2}	src/system/world/Crowd.cpp
default/system/rndobj/Utl	?ResetNormals@@YAXPAVRndMesh@@@Z	1980	86.80404	88.89495	SOURCE_INSDEL	228	False	{'relocname': 4, 'immediate': 37, 'register': 201, 'opcode': 6, 'branchdest': 4}	src/system/rndobj/Utl.cpp
default/TourDescPanel	?UpdateExtendedCustom@TourDescProvider@@UBAXHHPAVObject@Hmx@@@Z	1944	88.66049	90.56379	SOURCE_INSDEL	185	False	{'immediate': 26, 'relocname': 18, 'register': 183, 'branchdest': 1, 'opcode': 1}	src/band3/tour/TourDescPanel.cpp
default/Shader	?CalcShaderOpts@RndShaderMultimesh@@MAA_KPAVNgMat@@W4ShaderType@@_N@Z	1936	15.578512	17.427687	SOURCE_INSDEL	561	False	{'relocname': 10, 'immediate': 59, 'register': 143, 'opcode': 52, 'branchdest': 8}	src/system/rndobj/Shader.cpp
default/band3/meta_band/BandStorePanel	?Handle@BandStorePanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	1928	93.122406	93.30913	SOURCE_INSDEL	45	False	{'opcode': 5, 'relocname': 2, 'register': 8, 'branchdest': 1, 'immediate': 2}	src/band3/meta_band/BandStorePanel.cpp
default/Mat_NG	?SetRegularShaderConst@NgMat@@IAAX_N@Z	1896	98.26371	98.79114	SOURCE_INSDEL	60	False	{'register': 49, 'relocname': 2, 'immediate': 8, 'opcode': 1}	src/system/rndobj/Mat_NG.cpp
default/TexBlender	?DrawShowing@RndTexBlender@@UAAXXZ	1880	77.012764	78.28936	SOURCE_INSDEL	243	False	{'register': 126, 'relocname': 15, 'immediate': 64, 'branchdest': 2, 'opcode': 16}	src/system/rndobj/TexBlender.cpp
default/VocalNoteList	?NotesDone@VocalNoteList@@QAAXABVTempoMap@@_N@Z	1836	83.675385	85.38562	SOURCE_INSDEL	217	False	{'relocname': 11, 'immediate': 23, 'register': 145, 'opcode': 8, 'branchdest': 2}	src/system/beatmatch/VocalNoteList.cpp
default/OutfitConfig	?Compose@MatSwap@OutfitConfig@@QAAXPAHAAV?$ObjVector@VBandPatchMesh@@@@H@Z	1780	86.76854	87.723595	SOURCE_INSDEL	133	False	{'register': 80, 'relocname': 4, 'immediate': 18, 'branchdest': 4, 'opcode': 8}	src/system/bandobj/OutfitConfig.cpp
