unit,symbol,div_class,confidence,before_evidence,fuzzy,mpn,size,byte_identical,screen
default/CameraShot,?resize@?$ObjVector@VCamShotCrowd@@@@QAAXI@Z,call_count,stable_divergent,divergent,100.00,100.00,68,0,SURVIVES_BOTH_SCREENS
default/CharBoneDir,?PostLoad@CharBoneDir@@UAAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,54.75,55.90,192,0,SURVIVES_BOTH_SCREENS
default/CharBoneDir,?PreLoad@CharBoneDir@@UAAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,17.19,19.49,148,0,SURVIVES_BOTH_SCREENS
default/CharBoneDir,?insert@?$list@PAVRndTransformable@@V?$StlNodeAlloc@PAVRndTransformable@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVRndTransformable@@U?$_Nonconst_traits@PAVRndTransformable@@@stlpmtx_std@@@2@U32@ABQAVRndTransformable@@@Z,call_count,stable_divergent,divergent,64.60,66.40,100,0,SURVIVES_BOTH_SCREENS
default/CharBoneOffset,??0CharBoneOffset@@IAA@XZ,call_count,stable_divergent,divergent,81.25,81.61,284,0,SURVIVES_BOTH_SCREENS
default/CharBonesMeshes,?ReallocateInternal@CharBonesMeshes@@MAAXXZ,call_count,stable_divergent,divergent,50.07,54.73,292,0,SURVIVES_BOTH_SCREENS
default/CharClip,??0CharClip@@IAA@XZ,call_count,stable_divergent,divergent,83.08,83.60,344,0,SURVIVES_BOTH_SCREENS
default/CharClipGroup,?HasClip@CharClipGroup@@QBA_NPAVCharClip@@@Z,call_count,stable_divergent,divergent,0.00,1.32,76,0,SURVIVES_BOTH_SCREENS
default/CharClipSet,?SetBpm@CharClipSet@@UAAXH@Z,call_count,stable_divergent,divergent,47.30,48.30,160,0,SURVIVES_BOTH_SCREENS
default/CharCuff,?Load@CharCuff@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,100.00,100.00,12,1,BYTE_IDENTICAL_ARTIFACT
default/CharCuff,?Load@CharCuff@@UAAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,73.34,75.26,480,0,SURVIVES_BOTH_SCREENS
default/CharDriver,??0CharDriver@@IAA@XZ,call_count,stable_divergent,divergent,85.84,86.49,488,0,SURVIVES_BOTH_SCREENS
default/CharDriverMidi,??_GCharDriverMidi@@UAAPAXI@Z,call_arg,stable_divergent,divergent,57.91,59.50,88,0,SURVIVES_BOTH_SCREENS
default/CharEyes,?NextLook@CharEyes@@IAAXXZ,call_count,stable_divergent,divergent,66.83,69.96,1684,0,SURVIVES_BOTH_SCREENS
default/CharFaceServo,??0CharFaceServo@@IAA@XZ,call_count,stable_divergent,divergent,93.32,93.45,476,0,SURVIVES_BOTH_SCREENS
default/CharFaceServo,?Load@CharFaceServo@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,100.00,100.00,12,1,BYTE_IDENTICAL_ARTIFACT
default/CharFaceServo,?Load@CharFaceServo@@UAAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,77.17,78.59,436,0,SURVIVES_BOTH_SCREENS
default/CharGuitarString,?Load@CharGuitarString@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,100.00,100.00,12,1,BYTE_IDENTICAL_ARTIFACT
default/CharGuitarString,?Load@CharGuitarString@@UAAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,45.48,46.98,200,0,SURVIVES_BOTH_SCREENS
default/CharHair,?Link@?$ObjPtrList@VCharCollide@@VObjectDir@@@@AAAXViterator@1@PAUNode@1@@Z,object_memory,stable_divergent,divergent,0.00,0.23,260,0,SURVIVES_BOTH_SCREENS
default/CharIKFingers,??0CharIKFingers@@IAA@XZ,call_count,stable_divergent,divergent,64.61,65.97,776,0,SURVIVES_BOTH_SCREENS
default/CharIKFoot,?Load@CharIKFoot@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,100.00,100.00,12,1,BYTE_IDENTICAL_ARTIFACT
default/CharIKFoot,?Load@CharIKFoot@@UAAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,54.95,56.62,252,0,SURVIVES_BOTH_SCREENS
default/CharLipSync,??__FsLoadedFile@@YAXXZ,call_arg,stable_divergent,divergent,97.57,99.00,28,0,SURVIVES_BOTH_SCREENS
default/CharLookAt,??0CharLookAt@@IAA@XZ,call_count,stable_divergent,divergent,73.30,74.36,528,0,SURVIVES_BOTH_SCREENS
default/CharMeshHide,?UpdateOverlay@Synth@@UAAMPAVRndOverlay@@M@Z,wild_jump_match,stable_divergent,divergent,90.86,92.51,776,0,SURVIVES_BOTH_SCREENS
default/CharNeckTwist,??0CharNeckTwist@@IAA@XZ,call_count,stable_divergent,divergent,69.57,69.93,224,0,SURVIVES_BOTH_SCREENS
default/CharPollGroup,??0CharPollGroup@@IAA@XZ,call_count,stable_divergent,divergent,3.88,5.75,288,0,SURVIVES_BOTH_SCREENS
default/CharWeightable,??0CharWeightable@@IAA@XZ,call_arg,stable_divergent,divergent,100.00,100.00,196,0,SURVIVES_BOTH_SCREENS
default/CharWeightable,?Handle@CharWeightable@@$4PPPPPPPM@A@AA?AVDataNode@@PAVDataArray@@_N@Z,error,stable_divergent,divergent,95.00,100.00,12,0,SURVIVES_BOTH_SCREENS
default/Character,??$_Destroy@ULod@Character@@@stlpmtx_std@@YAXPAULod@Character@@@Z,call_count,stable_divergent,divergent,95.00,95.00,4,1,BYTE_IDENTICAL_ARTIFACT
default/Character,??$__destroy_mv_srcs@V?$reverse_iterator@PAV?$ObjVector@ULod@Character@@@@@stlpmtx_std@@V?$ObjVector@ULod@Character@@@@@stlpmtx_std@@YAXV?$reverse_iterator@PAV?$ObjVector@ULod@Character@@@@@0@0PAV?$ObjVector@ULod@Character@@@@@Z,call_count,stable_divergent,divergent,22.22,23.06,72,0,SURVIVES_BOTH_SCREENS
default/Character,?PostLoad@Character@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,100.00,100.00,12,1,BYTE_IDENTICAL_ARTIFACT
default/Character,?PostLoad@Character@@UAAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,60.36,62.27,1440,0,SURVIVES_BOTH_SCREENS
default/CheatProvider,??0Cheat@CheatProvider@@QAA@AAVString@@0PAVDataArray@@@Z,call_arg,stable_divergent,divergent,72.56,74.75,64,0,SURVIVES_BOTH_SCREENS
default/ChordShapeGenerator,??0ChordShapeGenerator@@QAA@XZ,object_memory,stable_divergent,divergent,97.26,98.37,1112,0,SURVIVES_BOTH_SCREENS
