cluster_id	unit	shared_type	rows	bytes	regclean_rows	bands	sym	billed	fuzzy	n_charged	nreg	src
18	default/band3/meta_band/SaveLoadManager	SaveLoadManager	2	4228	1	16+,7-15	?Start@SaveLoadManager@@IAAXXZ	132	61.818	13	0	src/band3/meta_band/SaveLoadManager.cpp
19	default/CameraShot	CamShot	5	4168	1	16+,7-15	?Handle@CamShot@@UAA?AVDataNode@@PAVDataArray@@_N@Z	1596	93.637	42	14	src/system/world/CameraShot.cpp
19	default/CameraShot	CamShot	5	4168	1	16+,7-15	?Shake@CamShot@@IAAXMMABVVector2@@AAVVector3@@1@Z	1148	95.564	77	16	src/system/world/CameraShot.cpp
19	default/CameraShot	CamShot	5	4168	1	16+,7-15	?Copy@CamShot@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z	676	95.817	10	0	src/system/world/CameraShot.cpp
19	default/CameraShot	CamShot	5	4168	1	16+,7-15	?StartAnim@CamShot@@UAAXXZ	552	8.413	141	12	src/system/world/CameraShot.cpp
19	default/CameraShot	CamShot	5	4168	1	16+,7-15	?EndAnim@CamShot@@UAAXXZ	196	57.286	27	6	src/system/world/CameraShot.cpp
20	default/SpotlightDrawer_NG	NgSpotlightDrawer	4	4160	0	16+,7-15	?SetupXSection@NgSpotlightDrawer@@IAAXPAVSpotlight@@ABUBeamDef@2@@Z	2104	32.730	501	260	src/system/world/SpotlightDrawer_NG.cpp
20	default/SpotlightDrawer_NG	NgSpotlightDrawer	4	4160	0	16+,7-15	?RenderConeDefs@NgSpotlightDrawer@@IAAXPAVSpotlight@@ABVColor@Hmx@@@Z	1324	66.320	229	133	src/system/world/SpotlightDrawer_NG.cpp
20	default/SpotlightDrawer_NG	NgSpotlightDrawer	4	4160	0	16+,7-15	?RenderBeams@NgSpotlightDrawer@@IAAXABVMatrix4@Hmx@@@Z	416	88.250	26	7	src/system/world/SpotlightDrawer_NG.cpp
20	default/SpotlightDrawer_NG	NgSpotlightDrawer	4	4160	0	16+,7-15	?RenderSphere@NgSpotlightDrawer@@IAAXPAVSpotlight@@@Z	316	97.911	12	13	src/system/world/SpotlightDrawer_NG.cpp
21	default/CharBonesSamples	CharBonesSamples	4	3792	0	16+	?Relativize@CharBonesSamples@@QAAXPAVCharClip@@@Z	1448	96.472	25	14	src/system/char/CharBonesSamples.cpp
21	default/CharBonesSamples	CharBonesSamples	4	3792	0	16+	?Save@CharBonesSamples@@QAAXAAVBinStream@@@Z	1088	91.577	68	18	src/system/char/CharBonesSamples.cpp
21	default/CharBonesSamples	CharBonesSamples	4	3792	0	16+	?EvaluateChannel@CharBonesSamples@@QAAXPAXHHM@Z	944	83.754	99	63	src/system/char/CharBonesSamples.cpp
21	default/CharBonesSamples	CharBonesSamples	4	3792	0	16+	?FracToSample@CharBonesSamples@@QBAHPAM@Z	312	58.756	76	55	src/system/char/CharBonesSamples.cpp
22	default/ChordbookPanel	ChordbookPanel	2	3740	0	16+	?DisplayChord@ChordbookPanel@@QAAXI@Z	3436	97.179	90	57	src/band3/game/ChordbookPanel.cpp
22	default/ChordbookPanel	ChordbookPanel	2	3740	0	16+	?Enter@ChordbookPanel@@UAAXXZ	304	50.447	48	9	src/band3/game/ChordbookPanel.cpp
23	default/CharEyes	CharEyes	3	3656	0	16+	?NextLook@CharEyes@@IAAXXZ	1684	66.829	335	257	src/system/char/CharEyes.cpp
23	default/CharEyes	CharEyes	3	3656	0	16+	?Poll@CharEyes@@UAAXXZ	1616	96.619	108	120	src/system/char/CharEyes.cpp
23	default/CharEyes	CharEyes	3	3656	0	16+	??$PropSync@UEyeDesc@CharEyes@@@@YA_NAAV?$ObjVector@UEyeDesc@CharEyes@@@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	356	96.404	21	22	src/system/char/CharEyes.cpp
24	default/Rnd_Xbox	DxRnd	7	3576	1	16+,7-15,<=3	?InitBuffers@DxRnd@@AAAXXZ	1312	32.659	314	92	src/system/rnddx9/Rnd_Xbox.cpp
24	default/Rnd_Xbox	DxRnd	7	3576	1	16+,7-15,<=3	?FinishPostProcess@DxRnd@@AAAXXZ	652	49.399	117	31	src/system/rnddx9/Rnd_Xbox.cpp
24	default/Rnd_Xbox	DxRnd	7	3576	1	16+,7-15,<=3	?ModalDraw@DxRnd@@MAAXW4ModalType@Debug@@PBD@Z	480	77.692	54	32	src/system/rnddx9/Rnd_Xbox.cpp
24	default/Rnd_Xbox	DxRnd	7	3576	1	16+,7-15,<=3	?PreInit@DxRnd@@QAAXPAUHWND__@@@Z	412	66.680	45	1	src/system/rnddx9/Rnd_Xbox.cpp
24	default/Rnd_Xbox	DxRnd	7	3576	1	16+,7-15,<=3	?SetDefaultRenderStates@DxRnd@@QAAXXZ	292	92.767	15	3	src/system/rnddx9/Rnd_Xbox.cpp
24	default/Rnd_Xbox	DxRnd	7	3576	1	16+,7-15,<=3	?Present@DxRnd@@QAAXXZ	224	95.357	3	0	src/system/rnddx9/Rnd_Xbox.cpp
24	default/Rnd_Xbox	DxRnd	7	3576	1	16+,7-15,<=3	?SavePreBuffer@DxRnd@@AAAXXZ	204	66.490	39	23	src/system/rnddx9/Rnd_Xbox.cpp
25	default/Mat_NG	NgMat	2	3352	0	16+	?SetRegularShaderConst@NgMat@@IAAX_N@Z	1896	98.264	60	49	src/system/rndobj/Mat_NG.cpp
25	default/Mat_NG	NgMat	2	3352	0	16+	?RefreshState@NgMat@@IAAXXZ	1456	96.591	45	20	src/system/rndobj/Mat_NG.cpp
26	default/TexRenderer		1	3320	0	16+	?DrawToTexture@RndTexRenderer@@QAAXXZ	3320	94.176	213	144	src/system/rndobj/TexRenderer.cpp
27	default/Crowd	WorldCrowd	3	3168	0	16+	?DrawShowing@WorldCrowd@@UAAXXZ	2072	86.981	217	144	src/system/world/Crowd.cpp
27	default/Crowd	WorldCrowd	3	3168	0	16+	?Draw3DChars@WorldCrowd@@IAAXXZ	1012	29.877	232	80	src/system/world/Crowd.cpp
27	default/Crowd	WorldCrowd	3	3168	0	16+	??0Char3D@CharData@WorldCrowd@@QAA@ABU012@@Z	84	15.333	27	6	src/system/world/Crowd.cpp
28	default/PropAnim		1	3136	0	16+	?Handle@RndPropAnim@@UAA?AVDataNode@@PAVDataArray@@_N@Z	3136	98.865	158	158	src/system/rndobj/PropAnim.cpp
29	default/StorePanel	StorePanel	6	3016	3	16+,7-15	?Handle@StorePanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	1192	79.587	80	0	src/system/meta/StorePanel.cpp
29	default/StorePanel	StorePanel	6	3016	3	16+,7-15	?EnumerateOffers@StorePanel@@MAAX_N@Z	692	62.717	89	18	src/system/meta/StorePanel.cpp
29	default/StorePanel	StorePanel	6	3016	3	16+,7-15	?UpdateOffers@StorePanel@@MAAHABV?$list@UEnumProduct@@V?$StlNodeAlloc@UEnumProduct@@@stlpmtx_std@@@stlpmtx_std@@_N@Z	512	84.023	59	47	src/system/meta/StorePanel.cpp
29	default/StorePanel	StorePanel	6	3016	3	16+,7-15	?Load@StorePanel@@UAAXXZ	340	91.047	9	0	src/system/meta/StorePanel.cpp
29	default/StorePanel	StorePanel	6	3016	3	16+,7-15	?Enter@StorePanel@@UAAXXZ	168	63.738	24	5	src/system/meta/StorePanel.cpp
29	default/StorePanel	StorePanel	6	3016	3	16+,7-15	?IsLoaded@StorePanel@@UBA_NXZ	112	61.964	12	0	src/system/meta/StorePanel.cpp
30	default/band3/meta_band/BandStorePanel	BandStorePanel	3	3004	0	16+,7-15	?Handle@BandStorePanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	1928	93.122	45	8	src/band3/meta_band/BandStorePanel.cpp
30	default/band3/meta_band/BandStorePanel	BandStorePanel	3	3004	0	16+,7-15	?Poll@BandStorePanel@@UAAXXZ	980	45.045	215	44	src/band3/meta_band/BandStorePanel.cpp
30	default/band3/meta_band/BandStorePanel	BandStorePanel	3	3004	0	16+,7-15	?MakeNewOffer@BandStorePanel@@UAAPAVStoreOffer@@PBVStorePackedOfferBase@@_N@Z	96	60.917	15	2	src/band3/meta_band/BandStorePanel.cpp
31	default/OutfitConfig	OutfitConfig	2	2972	0	16+	?Compose@MatSwap@OutfitConfig@@QAAXPAHAAV?$ObjVector@VBandPatchMesh@@@@H@Z	1780	86.769	133	80	src/system/bandobj/OutfitConfig.cpp
31	default/OutfitConfig	OutfitConfig	2	2972	0	16+	?SetSkinTextures@OutfitConfig@@SAXPAVObjectDir@@0PAVBandCharDesc@@@Z	1192	95.074	41	23	src/system/bandobj/OutfitConfig.cpp
32	default/AmbientOcclusion	RndAmbientOcclusion	3	2824	0	16+	?SmoothResults@RndAmbientOcclusion@@IBAXPAVRndMesh@@@Z	1672	68.017	281	207	src/system/rndobj/AmbientOcclusion.cpp
32	default/AmbientOcclusion	RndAmbientOcclusion	3	2824	0	16+	?CalculateAOAtPoint@RndAmbientOcclusion@@IBAXABVVector3@@0PAM@Z	608	74.197	86	54	src/system/rndobj/AmbientOcclusion.cpp
