prize	tgt_size	funclet_bytes	funclets	fuzzy	mpn	tgt_frame	base_frame	delta	direction	verdict	hard	name	reg	imm	unit	symbol
120	120	0	0	0	1.667	0x60	0xa0	-64	OURS_BIGGER	UNTRIAGED					default/ContentMgr_Xbox	?Init@XboxContentMgr@@UAAXXZ
120	120	0	0	48.4	49.233	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/TypeProps	?ReplaceObject@TypeProps@@AAAXAAVDataNode@@PAVObject@Hmx@@1@Z
120	120	0	0	0.933	2.433	0x90	0x70	32	RETAIL_BIGGER	UNTRIAGED					default/PartAnim	??$?6VColor@Hmx@@@@YAAAVTextStream@@AAV0@ABV?$Key@VColor@Hmx@@@@@Z
120	120	0	0	60.0	61.167	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/WavMgr	?Get@?$ResMgr@X@@QAAPAXVCRC@Hmx@@@Z
116	116	0	0	34.241	36.31	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/Rot	??$_M_allocate_and_copy@PBVVector3@@@?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVVector3@@IPBV2@0@Z
116	116	0	0	38.345	40.586	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/UIList	?PreLoad@UIList@@UAAXAAVBinStream@@@Z
116	116	0	0	48.483	48.828	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/band3/game/PracticeSectionProvider	??1PracticeSectionProvider@@UAA@XZ
112	112	0	0	75.929	76.286	0xc0	0xa0	32	RETAIL_BIGGER	UNTRIAGED					default/SongLayout	??$?5VSongPattern@@V?$StlNodeAlloc@VSongPattern@@@stlpmtx_std@@@@YAAAVBinStreamRev@@AAV0@AAV?$vector@VSongPattern@@V?$StlNodeAlloc@VSongPattern@@@stlpmtx_std@@@stlpmtx_std@@@Z
112	112	0	0	99.25	99.786	0xe0	0x90	80	RETAIL_BIGGER	UNTRIAGED					default/Archive	??$?5VString@@V?$StlNodeAlloc@VString@@@stlpmtx_std@@@@YAAAVBinStream@@AAV0@AAV?$vector@VString@@V?$StlNodeAlloc@VString@@@stlpmtx_std@@@stlpmtx_std@@@Z
108	108	0	0	80.667	81.407	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/Mesh	?HasVert@PatchVerts@@QBA_NH@Z
108	108	0	0	0	5.37	0x70	0x90	-32	OURS_BIGGER	UNTRIAGED					default/Text	??1RndText@@UAA@XZ
108	108	0	0	0	2.037	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/UISlider	?PreLoad@UISlider@@UAAXAAVBinStream@@@Z
104	104	0	0	0	2.5	0x60	0xa0	-64	OURS_BIGGER	UNTRIAGED					default/StreakMeter	?SetType@StreakMeter@@UAAXVSymbol@@@Z
100	100	0	0	34.68	35.88	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/system/rndobj/Rnd	?CompressThread@@YAKPAX@Z
96	96	0	0	49.292	50.75	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/MemMgr	?_MemAllocTemp@@YAPAXHH@Z
96	96	0	0	34.625	37.333	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/WaveFile	??$_Destroy_Range@PAULabel@?A0x81ddebd1@@@stlpmtx_std@@YAXPAULabel@?A0x81ddebd1@@0@Z
96	96	0	0	56.292	59.0	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/SongCollision	??$__uninitialized_fill_n@PAUSongCollisionOutput@@IU1@@stlpmtx_std@@YAPAUSongCollisionOutput@@PAU1@IABU1@ABU__false_type@0@@Z
96	96	0	0	60.917	61.542	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/band3/meta_band/BandStorePanel	?MakeNewOffer@BandStorePanel@@UAAPAVStoreOffer@@PBVStorePackedOfferBase@@_N@Z
96	96	0	0	17.333	18.792	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/band3/meta_band/StoreMainPanel	??$__destroy_range_aux@V?$reverse_iterator@PAVNewReleaseEntry@StoreMainPanel@@@stlpmtx_std@@@stlpmtx_std@@YAXV?$reverse_iterator@PAVNewReleaseEntry@StoreMainPanel@@@0@0ABU__false_type@0@@Z
92	92	0	0	81.652	82.522	0xb0	0xa0	16	RETAIL_BIGGER	UNTRIAGED					default/MeshAnim	?SetTransform@RndShaderMgr@@QAAXABVTransform@@@Z
92	92	0	0	58.391	59.913	0x70	0x880	-2064	OURS_BIGGER	UNTRIAGED					default/Rnd_NG	??$MakeString@HH@@YAPBDPBDHH@Z
92	92	0	0	86.826	86.826	0xa0	0xd0	-48	OURS_BIGGER	UNTRIAGED					default/Spotlight	??$?5UColorSet@@V?$StlNodeAlloc@UColorSet@@@stlpmtx_std@@@@YAAAVBinStreamRev@@AAV0@AAV?$vector@UColorSet@@V?$StlNodeAlloc@UColorSet@@@stlpmtx_std@@@stlpmtx_std@@@Z
92	92	0	0	0	3.478	0x70	0xb0	-64	OURS_BIGGER	UNTRIAGED					default/JoypadMsgs	?_M_insert_overflow_aux@?$vector@U?$pair@PBVMoveVariant@@PBV1@@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@PBVMoveVariant@@PBV1@@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAU?$pair@PBVMoveVariant@@PBV1@@2@ABU32@ABU__false_type@2@I_N@Z
92	92	0	0	0	3.478	0x890	0x80	2064	RETAIL_BIGGER	UNTRIAGED					default/system/gesture/DrawUtl	?CreateCameraBufferMat@@YAPAVRndMat@@HHW4Type@RndTex@@@Z
88	88	0	0	40.409	42.227	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/OvershellSlot	?clear@?$_List_base@PAVPassiveMessage@@V?$StlNodeAlloc@PAVPassiveMessage@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ
88	88	0	0	78.318	80.364	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/TypeProps	??E?$ObjDirItr@VObjectDir@@@@QAAAAV0@XZ
88	88	0	0	61.409	65.273	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/SpotlightDrawer	?DrawAdditional@SpotlightDrawer@@MAAXPAVSpotlightEntry@1@ABQAV21@@Z
88	88	0	0	76.273	77.182	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/MidiReader	?DefaultMidiLess@?A0x7d41cf68@@YA_NABUMidi@MidiReader@@0@Z
88	88	0	0	0	3.182	0x70	0x90	-32	OURS_BIGGER	UNTRIAGED					default/UISlider	?PostLoad@UISlider@@UAAXAAVBinStream@@@Z
88	88	0	0	99.818	99.818	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/MultiTempoTempoMap	?PointForTime@MultiTempoTempoMap@@ABAPBUTempoInfoPoint@1@M@Z
88	88	0	0	85.0	86.136	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/BandSongMgr	?GetNumVocalParts@BandSongMgr@@QBAHVSymbol@@@Z
88	88	0	0	84.364	86.182	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/SongDB	?PostLoad@SongDB@@QAAXPAVDataEventList@@@Z
84	84	0	0	4.19	5.619	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/BandCharacter	??$__uninitialized_copy@PAVRangeShift@GemTrack@@PAV12@@stlpmtx_std@@YAPAVRangeShift@GemTrack@@PAV12@00ABU__false_type@0@@Z
84	84	0	0	3.952	5.619	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/Morph	??$__uninitialized_copy@PAVMoveFrame@@PAV1@@stlpmtx_std@@YAPAVMoveFrame@@PAV1@00ABU__false_type@0@@Z
84	84	0	0	15.333	17.0	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/Crowd	??0Char3D@CharData@WorldCrowd@@QAA@ABU012@@Z
84	84	0	0	1.238	6.0	0x70	0x90	-32	OURS_BIGGER	UNTRIAGED					default/DuplicatedObject	?IsInDuplicationSet@DuplicatedObject@Quazal@@QBA_NVDOHandle@2@@Z
80	80	0	0	82.15	83.9	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/MoveMgr	?OnRandomSeed@CameraManager@@AAA?AVDataNode@@PAVDataArray@@@Z
80	80	0	0	12.4	15.9	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/WaveFile	??$_M_allocate_and_copy@PAVVector2@@@?$vector@VVector2@@V?$StlNodeAlloc@VVector2@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVVector2@@IPAV2@0@Z
80	80	0	0	43.0	44.75	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/MidiInstrument	?Start@NoteVoiceInst@@UAAXXZ
72	72	0	0	0	1.111	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/BandCamShot	??$_Destroy_Range@V?$reverse_iterator@PAVSingerStats@@@stlpmtx_std@@@stlpmtx_std@@YAXV?$reverse_iterator@PAVSingerStats@@@0@0@Z
72	72	0	0	70.944	72.056	0x80	0x90	-16	OURS_BIGGER	UNTRIAGED					default/Character	?resize@?$ObjVector@ULod@Character@@@@QAAXI@Z
72	72	0	0	0	1.667	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/Graph	??0DrawString3D@@QAA@PBDABVVector3@@ABVColor@Hmx@@@Z
68	68	0	0	0	2.941	0x60	0x150	-240	OURS_BIGGER	UNTRIAGED					default/BandCharacter	?DrawShowing@BandCharacter@@UAAXXZ
68	68	0	0	99.235	99.824	0xd0	0x100	-48	OURS_BIGGER	UNTRIAGED					default/Flow	?resize@?$ObjVector@UDynamicPropertyEntry@Flow@@@@QAAXI@Z
68	68	0	0	29.059	29.941	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/LabelNumberTicker	?PostLoad@LabelNumberTicker@@UAAXAAVBinStream@@@Z
68	68	0	0	0	1.765	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/band3/meta_band/ViewSetting	?_M_insert@?$_Rb_tree@PAVFlowNode@@U?$less@PAVFlowNode@@@stlpmtx_std@@U?$pair@QAVFlowNode@@W4QueueState@1@@3@U?$_Select1st@U?$pair@QAVFlowNode@@W4QueueState@1@@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@QAVFlowNode@@W4QueueState@1@@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@QAVFlowNode@@W4QueueState@1@@stlpmtx_std@@@3@@stlpmtx_std@@AAA?AU?$_Rb_tree_iterator@U?$pair@QAVFlowNode@@W4QueueState@1@@stlpmtx_std@@U?$_MapTraitsT@U?$pair@QAVFlowNode@@W4QueueState@1@@stlpmtx_std@@@priv@2@@2@PAU_Rb_tree_node_base@2@ABU?$pair@QAVFlowNode@@W4QueueState@1@@2@00@Z
64	64	0	0	72.562	74.75	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/CheatProvider	??0Cheat@CheatProvider@@QAA@AAVString@@0PAVDataArray@@@Z
64	64	0	0	20.75	22.312	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/FilterVersion	?Sym@DataArray@@QBA?AVSymbol@@H@Z
60	60	0	0	57.2	58.533	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/RockCentral	??0RBDataClient@Quazal@@QAA@XZ
60	60	0	0	31.8	33.133	0xb0	0x60	80	RETAIL_BIGGER	UNTRIAGED					default/ContentMgr_Xbox	??$Obj@VCharPollable@@@DataNode@@QBAPAVCharPollable@@PBVDataArray@@@Z
48	48	0	0	0	0.833	0x60	0x80	-32	OURS_BIGGER	UNTRIAGED					default/User	?IsJoypadConnected@LocalUser@@UBA_NXZ
