prize	tgt_size	funclet_bytes	funclets	fuzzy	mpn	tgt_frame	base_frame	delta	direction	verdict	hard	name	reg	imm	unit	symbol
1012	1012	0	0	29.877	31.518	0x170	0x110	96	RETAIL_BIGGER	UNTRIAGED					default/Crowd	?Draw3DChars@WorldCrowd@@IAAXXZ
976	976	0	0	99.012	99.156	0xe0	0xf0	-16	OURS_BIGGER	NAME-BLOCKED	2	2	5	6	default/Line	?SetNumPoints@RndLine@@QAAXH@Z
972	972	0	0	99.436	99.436	0x1c0	0x1b0	16	RETAIL_BIGGER	COLLECTABLE	2	0	0	17	default/MidiReader	?ReadMetaEvent@MidiReader@@AAAXHEAAVBinStream@@@Z
964	964	0	0	84.174	87.805	0xd0	0xc0	16	RETAIL_BIGGER	NAME-BLOCKED	34	2	106	4	default/Spotlight	?BuildNGQuad@Spotlight@@IAAXAAUBeamDef@1@W4Constraint@RndTransformable@@@Z
948	948	0	0	35.384	37.852	0xc0	0xb0	16	RETAIL_BIGGER	UNTRIAGED					default/Scheduler	??0Scheduler@Quazal@@QAA@EPAVSchedulerWorkerThread@01@@Z
944	904	40	1	79.341	79.54	0xf0	0xd0	32	RETAIL_BIGGER	UNTRIAGED					default/Spotlight	?DrawShowing@Spotlight@@UAAXXZ
904	904	0	0	85.102	86.894	0x110	0x140	-48	OURS_BIGGER	NAME-BLOCKED	32	5	64	2	default/BandCharacter	?OnInstallFilter@BandCharacter@@QAA?AVDataNode@@PAVDataArray@@@Z
896	896	0	0	47.183	48.634	0xd0	0xc0	16	RETAIL_BIGGER	UNTRIAGED					default/BandCharacter	?PlayMainClip@BandCharacter@@QAAPAVCharClipDriver@@H_N@Z
872	872	0	0	66.858	69.977	0xa0	0xb0	-16	OURS_BIGGER	UNTRIAGED					default/StandardStream	?InitInfo@StandardStream@@QAAXHH_NH@Z
868	828	40	1	55.961	58.039	0x110	0xf0	32	RETAIL_BIGGER	UNTRIAGED					default/BandWardrobe	?FindBestScoringHint@BandWardrobe@@QAAHPAVSymbol@@PAVSlotInfo@1@AAH@Z
864	824	40	1	0	1.068	0xd0	0xf0	-32	OURS_BIGGER	UNTRIAGED					default/ContentMgr_Xbox	?PollRefresh@XboxContentMgr@@UAAXXZ
844	596	248	6	81.322	81.691	0x80	0x90	-16	OURS_BIGGER	COLLECTABLE	32	0	11	6	default/Gen	??0RndGenerator@@IAA@XZ
792	792	0	0	56.106	56.586	0xb0	0xd0	-32	OURS_BIGGER	UNTRIAGED					default/UI	?Poll@UIManager@@UAAXXZ
792	792	0	0	5.667	6.02	0x200	0x70	400	RETAIL_BIGGER	UNTRIAGED					default/File	FileMakePath
780	780	0	0	95.682	95.887	0xb0	0xc0	-16	OURS_BIGGER	NAME-BLOCKED	8	3	4	2	default/PropSync	?DrawShowing@WorldDir@@UAAXXZ
776	616	160	4	59.396	59.851	0xc0	0xd0	-16	OURS_BIGGER	UNTRIAGED					default/StreakMeter	?PreLoad@StreakMeter@@UAAXAAVBinStream@@@Z
