size	class	tier	unit	symbol	fuzzy	fold_test	mapname	target_name	our_name
852	UNDECIDABLE	engine	default/system/bandobj/BandHeadShaper	?SetMeshAnim@@YAXPAVObjectDir@@AAV?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@@Z	96.0329	UNKNOWN	REFUTED	private: void __cdecl stlpmtx_std::vector<class Hmx::Object *, class stlpmtx_std::StlNodeAlloc<class Hmx::Object *>>::_M_fill_insert(class Hmx::Object **, unsigned int, class Hmx::Object *const &)	private: void __cdecl stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>>::_M_fill_insert(int *, unsigned int, int const &)
852	A_FOLD_CONSISTENT	game	default/OvershellPanel	?RefreshJoinableUsers@OvershellPanel@@QAAXXZ	99.9531	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class OvershellSlot *, class stlpmtx_std::StlNodeAlloc<class OvershellSlot *>>::push_back(class OvershellSlot *const &)
848	BC_DIFFERENT_UNRESOLVED	engine	default/BandCamShot	?SyncProperty@BandCamShot@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	99.9764	DIFFERENT	REFUTED	bool __cdecl PropSync<struct HamCamShot::Target>(class ObjList<struct HamCamShot::Target> &, class DataNode &, class DataArray *, int, enum PropOp)	bool __cdecl PropSync<struct BandCamShot::Target>(class ObjList<struct BandCamShot::Target> &, class DataNode &, class DataArray *, int, enum PropOp)
832	BC_DIFFERENT_UNRESOLVED	game	default/band3/meta_band/SongUpgradeMgr	?AddUpgradeData@SongUpgradeMgr@@QAAXPAVDataArray@@PAVDataLoader@@W4ContentLocT@@VSymbol@@@Z	99.9760	DIFFERENT	REFUTED	public: class stlpmtx_std::vector<class LightPreset *, class stlpmtx_std::StlNodeAlloc<class LightPreset *>> & __cdecl stlpmtx_std::hash_map<class Symbol, class stlpmtx_std::vector<class LightPreset *, class stlpmtx_std::StlNodeAlloc<class LightPreset *>>, struct LightPresetManager::SymbolHash, struct stlpmtx_std::equal_to<class Symbol>, class stlpmtx_std::StlNodeAlloc<struct stlpmtx_std::pair<class Symbol const, class stlpmtx_std::vector<class LightPreset *, class stlpmtx_std::StlNodeAlloc<class LightPreset *>>>>>::operator[](class Symbol const &)	public: class stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>> & __cdecl stlpmtx_std::hash_map<class Symbol, class stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>>, struct stlpmtx_std::hash<class Symbol>, struct stlpmtx_std::equal_to<class Symbol>, class stlpmtx_std::StlNodeAlloc<struct stlpmtx_std::pair<class Symbol const, class stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>>>>>::operator[](class Symbol const &)
820	A_FOLD_CONSISTENT	game	default/band3/game/BandUserMgr	?GetLocalBandUsers@BandUserMgr@@QBAHPAV?$vector@PAVLocalBandUser@@V?$StlNodeAlloc@PAVLocalBandUser@@@stlpmtx_std@@@stlpmtx_std@@H@Z	99.9756	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class LocalBandUser *, class stlpmtx_std::StlNodeAlloc<class LocalBandUser *>>::push_back(class LocalBandUser *const &)
796	UNDECIDABLE	engine	default/LightPreset	??0Keyframe@LightPreset@@QAA@PAVObject@Hmx@@@Z	99.9749	UNKNOWN	CORROBORATED	private: void __cdecl stlpmtx_std::vector<class Vector3, class stlpmtx_std::StlNodeAlloc<class Vector3>>::_M_fill_insert(class Vector3 *, unsigned int, class Vector3 const &)	private: void __cdecl stlpmtx_std::vector<struct LightPreset::SpotlightDrawerEntry, class stlpmtx_std::StlNodeAlloc<struct LightPreset::SpotlightDrawerEntry>>::_M_fill_insert(struct LightPreset::SpotlightDrawerEntry *, unsigned int, struct LightPreset::SpotlightDrawerEntry const &)
780	A_FOLD_CONSISTENT	game	default/SongSortMgr	?BuildInternalSetlists@SongSortMgr@@QAAXXZ	99.9744	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class SavedSetlist *, class stlpmtx_std::StlNodeAlloc<class SavedSetlist *>>::push_back(class SavedSetlist *const &)
780	A_FOLD_CONSISTENT	engine	default/PropAnim	?AddKeys@RndPropAnim@@QAAPAVPropKeys@@PAVObject@Hmx@@PAVDataArray@@W4AnimKeysType@2@@Z	99.9744	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class PropKeys *, struct stlpmtx_std::_Nonconst_traits<class PropKeys *>> __cdecl stlpmtx_std::list<class PropKeys *, class stlpmtx_std::StlNodeAlloc<class PropKeys *>>::insert(struct stlpmtx_std::_List_iterator<class PropKeys *, struct stlpmtx_std::_Nonconst_traits<class PropKeys *>>, class PropKeys *const &)
772	A_FOLD_CONSISTENT	game	default/VocalTrack	?UpdateTubePlates@VocalTrack@@QAAXAAV?$deque@PAVTubePlate@@V?$StlNodeAlloc@PAVTubePlate@@@stlpmtx_std@@@stlpmtx_std@@MM_N@Z	90.6684	SAME	REFUTED	protected: void __cdecl stlpmtx_std::deque<class LyricPlate *, class stlpmtx_std::StlNodeAlloc<class LyricPlate *>>::_M_push_back_aux_v(class LyricPlate *const &)	protected: void __cdecl stlpmtx_std::deque<class TubePlate *, class stlpmtx_std::StlNodeAlloc<class TubePlate *>>::_M_push_back_aux_v(class TubePlate *const &)
736	A_FOLD_CONSISTENT	engine	default/UIScreen	?SetTypeDef@UIScreen@@UAAXPAVDataArray@@@Z	99.9728	SAME	CORROBORATED	public: struct stlpmtx_std::_List_iterator<struct CharBone::WeightContext, struct stlpmtx_std::_Nonconst_traits<struct CharBone::WeightContext>> __cdecl stlpmtx_std::list<struct CharBone::WeightContext, class stlpmtx_std::StlNodeAlloc<struct CharBone::WeightContext>>::insert(struct stlpmtx_std::_List_iterator<struct CharBone::WeightContext, struct stlpmtx_std::_Nonconst_traits<struct CharBone::WeightContext>>, struct CharBone::WeightContext const &)	public: struct stlpmtx_std::_List_iterator<struct PanelRef, struct stlpmtx_std::_Nonconst_traits<struct PanelRef>> __cdecl stlpmtx_std::list<struct PanelRef, class stlpmtx_std::StlNodeAlloc<struct PanelRef>>::insert(struct stlpmtx_std::_List_iterator<struct PanelRef, struct stlpmtx_std::_Nonconst_traits<struct PanelRef>>, struct PanelRef const &)
732	A_FOLD_CONSISTENT	engine	default/GuitarController	??0GuitarController@@QAA@PAVUser@@PBVDataArray@@PAVBeatMatchControllerSink@@_N3@Z	99.9454	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<struct CharPollableSorter::Dep *, class stlpmtx_std::StlNodeAlloc<struct CharPollableSorter::Dep *>>::reserve(unsigned int)	public: void __cdecl stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>>::reserve(unsigned int)
