solo_closable_B	solo_rows	sites	strength	retail_S	ours_F	units	victim_rows
0	0	1	AIRTIGHT	??$__final_insertion_sort@PAVDataArrayPtr@@UForAllKeyframesSorter@@@stlpmtx_std@@YAXPAVDataArrayPtr@@0UForAllKeyframesSorter@@@Z	??$__final_insertion_sort@PAPAUEventEntry@@UMaxSort@@@stlpmtx_std@@YAXPAPAUEventEntry@@0UMaxSort@@@Z		
0	0	1	AIRTIGHT	?ClearArt@StoreArtLoaderPanel@@QAAXXZ	?HandlePendingProfileUploads@ProfileMgr@@QAAXXZ		
0	0	1	AIRTIGHT	?Unload@UIPanel@@UAAXXZ	?HandlePendingGamerpicRewards@ProfileMgr@@QAAXXZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@HPAVSongUpgradeData@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@V?$vector@PAVPatchSticker@@V?$StlNodeAlloc@PAVPatchSticker@@@stlpmtx_std@@@stlpmtx_std@@USymbolHash@PatchDir@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$vector@PAVPatchSticker@@V?$StlNodeAlloc@PAVPatchSticker@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@V?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ		
0	0	1	AIRTIGHT	?erase@?$list@VOldMatOption@@V?$StlNodeAlloc@VOldMatOption@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@VOldMatOption@@U?$_Nonconst_traits@VOldMatOption@@@stlpmtx_std@@@2@U32@0@Z	?erase@?$list@UMatOverride@WorldDir@@V?$StlNodeAlloc@UMatOverride@WorldDir@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UMatOverride@WorldDir@@U?$_Nonconst_traits@UMatOverride@WorldDir@@@stlpmtx_std@@@2@U32@0@Z		
0	0	1	AIRTIGHT	?GetGigGuideMap@TourDesc@@QBA?AVSymbol@@XZ	?GetConclusionText@TourDesc@@QBA?AVSymbol@@XZ		
0	0	1	F_sub100	?ResetStars@BandStarDisplay@@QAAXXZ	?LoadIcons@TourDescPanel@@QAAXXZ		
0	0	1	F_ungraded	?GetCurrentQuestSuccessMessage@TourPerformerImpl@@QBA?AVSymbol@@XZ	?GetCurrentQuestDisplayName@TourPerformerImpl@@QBA?AVSymbol@@XZ		
0	0	1	F_ungraded	??1MeshAO@OutfitConfig@@QAA@XZ	??1DynamicPropertyEntry@Flow@@QAA@XZ		
0	0	1	F_ungraded	??5@YAAAVBinStream@@AAV0@AAVOldMatOption@@@Z	??5@YAAAVBinStream@@AAV0@AAUPropTriggerDefn@FlowTrigger@@@Z		
0	0	1	F_ungraded	??0SampleZone@@QAA@PAVObject@Hmx@@@Z	??0DynamicPropertyEntry@Flow@@QAA@PAVObject@Hmx@@@Z		
0	0	1	F_ungraded	??0SampleZone@@QAA@ABV0@@Z	??0LocalizedName@HamMove@@QAA@ABU01@@Z		
0	0	1	F_ungraded	?erase@?$list@VLayer@LayerDir@@V?$StlNodeAlloc@VLayer@LayerDir@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@VLayer@LayerDir@@U?$_Nonconst_traits@VLayer@LayerDir@@@stlpmtx_std@@@2@U32@0@Z	?erase@?$list@VFilePath@@V?$StlNodeAlloc@VFilePath@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@VFilePath@@U?$_Nonconst_traits@VFilePath@@@stlpmtx_std@@@2@U32@0@Z		
0	0	1	AIRTIGHT	??5@YAAAVBinStream@@AAV0@AAVPracticeSectionMapping@SongSectionController@@@Z	??5@YAAAVBinStream@@AAV0@AAVContentPoolMapping@SongSectionController@@@Z		
0	0	1	F_ungraded	??4?$_Rb_tree@VCRC@Hmx@@U?$less@VCRC@Hmx@@@stlpmtx_std@@U?$pair@$$CBVCRC@Hmx@@M@4@U?$_Select1st@U?$pair@$$CBVCRC@Hmx@@M@stlpmtx_std@@@4@U?$_MapTraitsT@U?$pair@$$CBVCRC@Hmx@@M@stlpmtx_std@@@priv@4@V?$StlNodeAlloc@U?$pair@$$CBVCRC@Hmx@@M@stlpmtx_std@@@4@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$_Rb_tree@HU?$less@H@stlpmtx_std@@U?$pair@$$CBHM@2@U?$_Select1st@U?$pair@$$CBHM@stlpmtx_std@@@2@U?$_MapTraitsT@U?$pair@$$CBHM@stlpmtx_std@@@priv@2@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAV01@ABV01@@Z		
0	0	1	F_ungraded	??$MiloStripEval@VString@@VSymbol@@PBDV1@@@YAXPBDVString@@VSymbol@@01@Z	??$MakeString@VString@@VSymbol@@PBDV1@@@YAPBDPBDVString@@VSymbol@@01@Z		
0	0	1	F_ungraded	??1MeshAO@OutfitConfig@@QAA@XZ	??1?$ObjOwnerPtr@VCharClip@@@@UAA@XZ		
0	0	1	AIRTIGHT	?Randomize@CharClipGroup@@QAAXXZ	?Sort@CharClipGroup@@QAAXXZ		
0	0	1	F_ungraded	??0OldMatOption@@QAA@PAVObject@Hmx@@@Z	??0EyeDesc@CharEyes@@QAA@PAVObject@Hmx@@@Z		
0	0	1	AIRTIGHT	??0PatchLayer@@QAA@XZ	??0String@@QAA@XZ		
0	0	1	AIRTIGHT	??5@YAAAVBinStream@@AAV0@AAVPatchLayer@@@Z	??5BinStream@@QAAAAV0@AAVString@@@Z		
0	0	1	AIRTIGHT	?Start@VarTimer@@QAAXXZ	?clear@?$_List_base@UNote@MidiChannel@@V?$StlNodeAlloc@UNote@MidiChannel@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ		
0	0	1	F_sub100	??1RndMovie@@UAA@XZ	??1CharUpperTwist@@MAA@XZ		
0	0	1	AIRTIGHT	??1Piece@Piercing@OutfitConfig@@QAA@XZ	??1Lod@Character@@QAA@XZ		
0	0	1	AIRTIGHT	?Terminate@NgPostProc@@SAXXZ	?ReleaseTex@NgPostProc@@KAXXZ		
0	0	1	AIRTIGHT	?OnScreenDumpUnique@Rnd@@IAA?AVDataNode@@PBVDataArray@@@Z	?OnScreenDump@Rnd@@IAA?AVDataNode@@PBVDataArray@@@Z		
0	0	1	AIRTIGHT	?OnScreenDump@Rnd@@IAA?AVDataNode@@PBVDataArray@@@Z	?OnScreenDumpUnique@Rnd@@IAA?AVDataNode@@PBVDataArray@@@Z		
0	0	1	AIRTIGHT	??$__introsort_loop@PAPAVFileCacheEntry@@PAV1@HUPriority@@@stlpmtx_std@@YAXPAPAVFileCacheEntry@@00HUPriority@@@Z	??$__introsort_loop@PAPAVMoveDetector@@PAV1@HUMoveDetectorCmp@@@stlpmtx_std@@YAXPAPAVMoveDetector@@00HUMoveDetectorCmp@@@Z		
0	0	1	AIRTIGHT	?Handle@RndPollable@@UAA?AVDataNode@@PAVDataArray@@_N@Z	?Handle@RndAnimatable@@UAA?AVDataNode@@PAVDataArray@@_N@Z		
0	0	1	F_ungraded	??$sort@PAPAVUILabel@@ULabelSort@?A0x15e3583a@@@stlpmtx_std@@YAXPAPAVUILabel@@0ULabelSort@?A0x15e3583a@@@Z	??$sort@PAPAVUIListWidget@@UWidgetDrawSort@?A0xd29bb4b7@@@stlpmtx_std@@YAXPAPAVUIListWidget@@0UWidgetDrawSort@?A0xd29bb4b7@@@Z		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVMetaMusicScene@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVMetaMusicScene@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	?DeltaSeconds@TaskMgr@@QBAMXZ	?Resume@Splash@@QAAXXZ		
0	0	1	AIRTIGHT	??$__introsort_loop@PAPAVMoveDetector@@PAV1@HUMoveDetectorCmp@@@stlpmtx_std@@YAXPAPAVMoveDetector@@00HUMoveDetectorCmp@@@Z	??$__introsort_loop@PAPAVFileCacheEntry@@PAV1@HUPriority@@@stlpmtx_std@@YAXPAPAVFileCacheEntry@@00HUPriority@@@Z		
0	0	1	F_sub100	?PartialHit@GemManager@@QAAXMHIH@Z	?QueueJob@JobMgr@@QAAXPAVJob@@@Z		
0	0	1	F_ungraded	?StartDecompressionThread@?A0x3d3858a8@@YAXXZ	?StartDecompressionThread@?A0xe745f4e1@@YAXXZ		
0	0	1	F_ungraded	??$?5VColor@Hmx@@@@YAAAVBinStream@@AAV0@AAV?$Key@VColor@Hmx@@@@@Z	??$?5VVector3@@@@YAAAVBinStreamRev@@AAV0@AAV?$Key@VVector3@@@@@Z		
0	0	1	F_ungraded	??$?6V?$Key@VVector3@@@@V?$StlNodeAlloc@V?$Key@VVector3@@@@@stlpmtx_std@@@@YAAAVBinStream@@AAV0@ABV?$vector@V?$Key@VVector3@@@@V?$StlNodeAlloc@V?$Key@VVector3@@@@@stlpmtx_std@@@stlpmtx_std@@@Z	??$?5V?$Key@VQuat@Hmx@@@@V?$StlNodeAlloc@V?$Key@VQuat@Hmx@@@@@stlpmtx_std@@@@YAAAVBinStreamRev@@AAV0@AAV?$vector@V?$Key@VQuat@Hmx@@@@V?$StlNodeAlloc@V?$Key@VQuat@Hmx@@@@@stlpmtx_std@@@stlpmtx_std@@@Z		
0	0	1	F_ungraded	??_DRndMultiMeshProxy@@QAAXXZ	??_DRndScreenMask@@QAAXXZ		
0	0	1	F_ungraded	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@PAUDummySample@MidiChannel@@V?$StlNodeAlloc@PAUDummySample@MidiChannel@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z		
0	0	1	AIRTIGHT	?Size@StringTable@@QBAHXZ	?UsedSize@StringTable@@QBAHXZ		
