solo_closable_B	solo_rows	sites	strength	retail_S	ours_F	units	victim_rows
12	1	1	AIRTIGHT	?ClassName@CharIKMidi@@UBA?AVSymbol@@XZ	?ClassName@CharMirror@@UBA?AVSymbol@@XZ	default/CharMirror	?ClassName@CharMirror@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?ClassName@CharIKSliderMidi@@UBA?AVSymbol@@XZ	?ClassName@CharNeckTwist@@UBA?AVSymbol@@XZ	default/CharNeckTwist	?ClassName@CharNeckTwist@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?ClassName@CharMirror@@UBA?AVSymbol@@XZ	?ClassName@CharPollGroup@@UBA?AVSymbol@@XZ	default/CharPollGroup	?ClassName@CharPollGroup@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?ClassName@CharNeckTwist@@UBA?AVSymbol@@XZ	?ClassName@CharServoBone@@UBA?AVSymbol@@XZ	default/CharServoBone	?ClassName@CharServoBone@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?ClassName@CharServoBone@@UBA?AVSymbol@@XZ	?ClassName@CharSleeve@@UBA?AVSymbol@@XZ	default/CharSleeve	?ClassName@CharSleeve@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?ClassName@DialogDisplay@@UBA?AVSymbol@@XZ	?ClassName@CharUpperTwist@@UBA?AVSymbol@@XZ	default/CharUpperTwist	?ClassName@CharUpperTwist@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	F_ungraded	?SetType@Character@@UAAXVSymbol@@@Z	?Replace@CharWeightable@@MAAXPAVObjRef@@PAVObject@Hmx@@@Z	default/Character	?Replace@CharWeightable@@$2PPPPPPPM@A@AAXPAVObjRef@@PAVObject@Hmx@@@Z
12	1	1	F_ungraded	?SetType@CharWeightable@@UAAXVSymbol@@@Z	?Load@CharWeightable@@UAAXAAVBinStream@@@Z	default/CharWeightable	?Load@CharWeightable@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	AIRTIGHT	?ClassName@VocalTrackDir@@UBA?AVSymbol@@XZ	?ClassName@Character@@UBA?AVSymbol@@XZ	default/Character	?ClassName@Character@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	F_ungraded	?ClassName@Character@@UBA?AVSymbol@@XZ	?Handle@Character@@UAA?AVDataNode@@PAVDataArray@@_N@Z	default/Character	?Handle@Character@@$4PPPPPPPM@A@AA?AVDataNode@@PAVDataArray@@_N@Z
12	1	1	F_sub100	?ClassName@RndTexBlender@@UBA?AVSymbol@@XZ	?ClassName@LightPreset@@UBA?AVSymbol@@XZ	default/TexBlender	?ClassName@LightPreset@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	F_ungraded	?Handle@SaveLoadManager@@UAA?AVDataNode@@PAVDataArray@@_N@Z	?Handle@MemcardMgr@@UAA?AVDataNode@@PAVDataArray@@_N@Z	default/MemcardMgr_Xbox	?Handle@MemcardMgr@@$4PPPPPPPM@A@AA?AVDataNode@@PAVDataArray@@_N@Z
12	1	1	F_sub100	?ClassName@FadePanel@@UBA?AVSymbol@@XZ	?ClassName@MsgSource@@UBA?AVSymbol@@XZ	default/Msg	?ClassName@MsgSource@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?ClassName@DxMovie@@UBA?AVSymbol@@XZ	?ClassName@DxMultiMesh@@UBA?AVSymbol@@XZ	default/system/rnddx9/CubeTex	?ClassName@DxMultiMesh@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	F_sub100	?Highlight@RndDir@@UAAXXZ	?Replace@RndDir@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z	default/Anim	?Replace@RndDir@@$4PPPPPPPM@A@AAXPAVObjRef@@PAVObject@Hmx@@@Z
12	1	1	F_ungraded	?ClassName@RndLine@@UBA?AVSymbol@@XZ	?ClassName@RndSpline@@UBA?AVSymbol@@XZ	default/Line	?ClassName@RndSpline@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?ClassName@BandCharacter@@UBA?AVSymbol@@XZ	?ClassName@RndLine@@UBA?AVSymbol@@XZ	default/Line	?ClassName@RndLine@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?Save@RndDir@@UAAXAAVBinStream@@@Z	?Save@RndLine@@UAAXAAVBinStream@@@Z	default/Anim	?Save@RndLine@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	F_sub100	?Save@RndLine@@UAAXAAVBinStream@@@Z	?Load@RndLine@@UAAXAAVBinStream@@@Z	default/Line	?Load@RndLine@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	F_ungraded	?SetType@RndCam@@UAAXVSymbol@@@Z	?Load@RndCam@@UAAXAAVBinStream@@@Z	default/Cam	?Load@RndCam@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	F_ungraded	?Highlight@RndDrawable@@UAAXXZ	?Load@RndDrawable@@UAAXAAVBinStream@@@Z	default/Draw	?Load@RndDrawable@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
