unit_sub100_rows	kind	file	line	declaration
2	INL	src/band3/game/Tracker.h	67	virtual void HandleRemovePlayer_(Player *) {}
2	INL	src/band3/game/Tracker.h	68	virtual void HandlePlayerSaved_(const TrackerPlayerID &) {}
2	INL	src/band3/game/Tracker.h	69	virtual void HandleGameOver_(float) {}
2	INL	src/band3/game/Tracker.h	70	virtual void Restart_() {}
2	INL	src/band3/game/Tracker.h	71	virtual void FirstFrame_(float) {}
2	INL	src/band3/game/Tracker.h	72	virtual void Poll_(float) {}
2	INL	src/band3/game/Tracker.h	73	virtual void TargetSuccess(int) const {}
2	OUT	src/band3/meta_band/BandProfile.cpp	1026	void BandProfile::AutoFakeFill(int) {}
2	OUT	src/band3/meta_band/LicenseMgr.cpp	60	void LicenseMgr::ContentMounted(const char *, const char *) {}
2	INL	src/band3/meta_band/SongSort.h	18	virtual void Init() {}
2	INL	src/band3/meta_band/SongSort.h	22	virtual void ConfirmSubheaders(HeaderSortNode *) {}
2	INL	src/band3/meta_band/SongSort.h	23	virtual void Clear() {}
2	INL	src/band3/meta_band/SongSort.h	31	virtual void PollReady() {}
2	INL	src/band3/meta_band/SongSort.h	32	virtual void MakeReady() {}
2	INL	src/band3/meta_band/SongSort.h	33	virtual void CancelMakeReady() {}
2	INL	src/system/bandobj/BandLeadMeter.h	21	virtual void SetFrame(float, float) {}
2	OUT	src/system/bandobj/TrackPanelDirBase.cpp	348	void TrackPanelDirBase::PlayIntro() {}
2	OUT	src/system/bandobj/TrackPanelDirBase.cpp	349	void TrackPanelDirBase::HideScore() {}
2	OUT	src/system/bandobj/TrackPanelDirBase.cpp	350	void TrackPanelDirBase::GameOver() {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	37	virtual void ResetAll() {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	44	virtual void SetCodaScore(int) {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	47	virtual void ResetPlayers() {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	48	virtual void StartFinale() {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	49	virtual void SetMultiplier(int, bool) {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	50	virtual void SetCrowdRating(float) {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	52	virtual void UnisonStart(int) {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	53	virtual void UnisonEnd() {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	54	virtual void UnisonSucceed() {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	60	virtual void DisablePlayer(int, bool) {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	61	virtual void EnablePlayer(int) {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	62	virtual void FadeBotbBandNames(bool) {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	63	virtual void CleanUpChordMeshes() {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	64	virtual void SetApplauseMeterScale(int, int) {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	65	virtual void StartPulseAnims(float) {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	73	virtual void Unkd4() {}
2	INL	src/system/bandobj/TrackPanelDirBase.h	74	virtual void Unkd8() {}
2	OUT	src/system/char/CharLipSyncDriver.cpp	219	void CharLipSyncDriver::BlendInOverrides(float) {}
2	OUT	src/system/hamobj/MiniLeaderboardDisplay.cpp	86	void MiniLeaderboardDisplay::Update() {}
2	INL	src/system/os/User.h	107	virtual void SyncLoad(BinStream &, unsigned int) {}
2	INL	src/system/rndobj/Font.h	233	virtual void Print() const {}
2	INL	src/system/rndobj/Rnd_NG.h	49	virtual void Clear(unsigned int, const Hmx::Color &) {}
2	INL	src/system/rndobj/Rnd_NG.h	60	virtual void Suspend() {}
2	INL	src/system/rndobj/Rnd_NG.h	61	virtual void Resume() {}
2	INL	src/system/ui/UIListWidget.h	71	virtual void CreateElements(UIList *, int) {}
2	INL	src/system/ui/UIListWidget.h	80	virtual void Fill(const UIListProvider &, int, int, int) {}
2	INL	src/system/ui/UIListWidget.h	81	virtual void StartScroll(int, bool) {}
2	INL	src/system/ui/UIListWidget.h	82	virtual void CompleteScroll(const UIListState &, int) {}
2	INL	src/system/ui/UIListWidget.h	83	virtual void Poll() {}
2	INL	src/system/ui/UIPanel.h	43	virtual void FocusIn() {}
2	INL	src/system/ui/UIPanel.h	44	virtual void FocusOut() {}
2	INL	src/system/world/CameraManager.h	43	void SetBlendTime(float) {}
1	INL	src/band3/bandtrack/Track.h	50	virtual void Load() {}
1	INL	src/band3/bandtrack/Track.h	51	virtual void Unload() {}
1	INL	src/band3/bandtrack/Track.h	53	virtual void FinishLoad() {}
1	INL	src/band3/bandtrack/Track.h	54	virtual void Draw() {}
1	INL	src/band3/bandtrack/Track.h	56	virtual void Jump(float) {}
1	INL	src/band3/bandtrack/Track.h	57	virtual void SetShowing(bool) {}
1	INL	src/band3/bandtrack/Track.h	59	virtual void SetDir(RndDir *) {}
1	INL	src/band3/bandtrack/Track.h	63	virtual void SetSmasherGlowing(int, bool) {}
1	INL	src/band3/bandtrack/Track.h	64	virtual void PopSmasher(int) {}
1	INL	src/band3/bandtrack/Track.h	65	virtual void OnMissPhrase(int) {}
1	INL	src/band3/bandtrack/Track.h	66	virtual void RemovePlayer() {}
1	OUT	src/band3/game/DeployCountTracker.cpp	46	void DeployCountTracker::UpdateGoalValueLabel(UILabel &) const {}
1	OUT	src/band3/game/DeployCountTracker.cpp	47	void DeployCountTracker::UpdateCurrentValueLabel(UILabel &) const {}
1	INL	src/band3/game/GemTrainerPanel.h	33	virtual void HitNotify(int) {}
1	INL	src/band3/game/GemTrainerPanel.h	35	virtual void Looped() {}
1	INL	src/band3/game/GemTrainerPanel.h	37	virtual void PostCopyGems() {}
1	OUT	src/band3/game/OverdriveTracker.cpp	197	void OverdriveTracker::TargetSuccess(int) const {}
1	OUT	src/band3/game/PerfectOverdriveTracker.cpp	267	void PerfectOverdriveTracker::UpdateGoalValueLabel(UILabel &) const {}
1	OUT	src/band3/game/PerfectOverdriveTracker.cpp	268	void PerfectOverdriveTracker::UpdateCurrentValueLabel(UILabel &) const {}
1	OUT	src/band3/game/Singer.cpp	214	void Singer::Start() {}
1	OUT	src/band3/game/Singer.cpp	215	void Singer::StartIntro() {}
1	OUT	src/band3/game/Singer.cpp	235	void Singer::SetPaused(bool) {}
1	OUT	src/band3/game/Singer.cpp	308	void Singer::EnableController() {}
1	OUT	src/band3/game/Singer.cpp	309	void Singer::DisableController() {}
1	INL	src/band3/meta_band/Matchmaker.h	91	virtual void Poll() {}
1	INL	src/band3/meta_band/Matchmaker.h	93	virtual void UpdateMatchmakingSettings() {}
1	OUT	src/band3/meta_band/UIStats.cpp	48	void UIStats::Poll() {}
1	OUT	src/band3/meta_band/WaitingUserGate.cpp	190	void WaitingUserGate::Poll() {}
1	INL	src/band3/net_band/EntityUploader.h	34	virtual void Terminate() {}
1	OUT	src/band3/tour/TourPerformer.cpp	87	void TourPerformerImpl::CompleteQuest() {}
1	INL	src/network/Core/Scheduler.h	21	virtual void Initialize() {}
1	OUT	src/system/bandobj/BandRetargetVignette.cpp	42	void BandRetargetVignette::Exit() {}
1	OUT	src/system/bandobj/PlayerDiffIcon.cpp	120	void PlayerDiffIcon::GrowBoundingBox(Box &) const {}
1	INL	src/system/char/CharBoneOffset.h	22	virtual void Highlight() {}
1	OUT	src/system/char/CharBonesMeshes.cpp	206	void CharBonesMeshes::Init() {}
1	OUT	src/system/char/CharBonesMeshes.cpp	208	void CharBonesMeshes::Terminate() {}
1	INL	src/system/char/CharForeTwist.h	34	virtual void Highlight() {}
1	INL	src/system/char/CharIKFoot.h	21	virtual void Highlight() {}
1	INL	src/system/hamobj/HamIKEffector.h	51	virtual void Highlight() {}
1	INL	src/system/hamobj/MoveDir.h	100	void SimulateSong(int, int) {}
1	INL	src/system/meta/StorePurchaser.h	50	virtual void Poll() {}
1	INL	src/system/meta/StorePurchaser.h	82	virtual void Poll() {}
1	INL	src/system/net/HttpGet.h	54	void SetContent(const char *content) {}
1	INL	src/system/net/HttpGet.h	55	void SetContentLength(unsigned int len) {}
1	OUT	src/system/os/FileCache.cpp	183	void FileCache::Init() {}
1	OUT	src/system/os/FileCache.cpp	184	void FileCache::Terminate() {}
1	INL	src/system/os/FileCache.h	73	virtual void Flush() {}
1	INL	src/system/rndobj/PostProc.h	47	virtual void BeginWorld() {}
1	INL	src/system/rndobj/PostProc.h	48	virtual void EndWorld() {}
1	INL	src/system/rndobj/PostProc.h	49	virtual void DoPost() {}
1	INL	src/system/rndobj/PostProc.h	69	virtual void QueueMotionBlurObject(class RndDrawable *) {}
1	INL	src/system/rndobj/PostProc.h	70	virtual void SetBloomColor() {}
1	INL	src/system/rndobj/TexRenderer.h	43	virtual void DrawBefore() {}
1	INL	src/system/rndobj/TexRenderer.h	44	virtual void DrawAfter() {}
1	INL	src/system/synth/FxSend.h	38	virtual void Recreate(std::vector<FxSend *> &) {}
1	INL	src/system/synth/FxSend.h	60	virtual void UpdateMix() {}
1	INL	src/system/synth/FxSend.h	61	virtual void OnParametersChanged() {}
1	INL	src/system/synth/MicNull.h	10	virtual void Start() {}
1	INL	src/system/synth/MicNull.h	11	virtual void Stop() {}
1	INL	src/system/synth/MicNull.h	14	virtual void SetDMA(bool) {}
1	INL	src/system/synth/MicNull.h	16	virtual void SetGain(float) {}
1	INL	src/system/synth/MicNull.h	18	virtual void SetEarpieceVolume(float) {}
1	INL	src/system/synth/MicNull.h	21	virtual void SetOutputGain(float) {}
1	INL	src/system/synth/MicNull.h	23	virtual void SetSensitivity(float) {}
1	INL	src/system/synth/MicNull.h	25	virtual void SetCompressor(bool) {}
1	INL	src/system/synth/MicNull.h	27	virtual void SetCompressorParam(float) {}
1	INL	src/system/synth/MicNull.h	29	void ClearBuffers() {}
1	INL	src/system/synth/MicNull.h	35	virtual void SetEarpiece(bool) {}
1	INL	src/system/synth/VorbisReader.h	37	virtual void EndData() {}
1	INL	src/system/synth_xbox/FxSend.h	62	virtual void InitParams(IXAudio2SubmixVoice *, int) {}
1	OUT	src/system/ui/UIGridProvider.cpp	53	void UIGridProvider::UpdateExtendedText(int, int, UILabel *) const {}
1	OUT	src/system/ui/UIGridProvider.cpp	54	void UIGridProvider::UpdateExtendedMesh(int, int, RndMesh *) const {}
1	OUT	src/system/ui/UIGridProvider.cpp	55	void UIGridProvider::UpdateExtendedCustom(int, int, Hmx::Object *) const {}
1	INL	src/system/utl/BufStream.h	9	virtual void Flush() {}
1	INL	src/system/utl/ChunkStream.h	61	virtual void Flush() {}
1	OUT	src/system/utl/Loader.cpp	121	void FileLoader::DoneLoading() {}
1	INL	src/system/utl/Loader.h	21	virtual void FinishLoading(Loader *) {}
1	INL	src/system/utl/Loader.h	22	virtual void FailedLoading(Loader *) {}
1	INL	src/system/world/DefaultPhysicsManager.h	50	virtual void Reset(const Transform &) {}
1	INL	src/system/world/DefaultPhysicsManager.h	51	virtual void ApplyRadialForce(float) {}
