unit_sub100_rows	kind	file	line	declaration
5	INL	src/system/beatmatch/MasterAudio.h	155	virtual void FretButtonUp(int, float) {}
5	INL	src/system/beatmatch/MasterAudio.h	156	virtual void MercurySwitch(bool, float) {}
5	INL	src/system/beatmatch/MasterAudio.h	157	virtual void WhammyBar(float) {}
5	INL	src/system/beatmatch/MasterAudio.h	158	virtual void FilteredWhammyBar(float) {}
5	INL	src/system/beatmatch/MasterAudio.h	159	virtual void SwingAtHopo(int, float, int) {}
5	INL	src/system/beatmatch/MasterAudio.h	160	virtual void Hopo(int, float, int) {}
5	INL	src/system/beatmatch/MasterAudio.h	162	virtual void NoCurrentPhrase(int) {}
5	INL	src/system/beatmatch/MasterAudio.h	163	virtual void FillReset() {}
5	INL	src/system/beatmatch/MasterAudio.h	164	virtual void FillComplete(int, int) {}
5	OUT	src/system/beatmatch/TrackWatcherImpl.cpp	154	void TrackWatcherImpl::PollHook(float ms) {}
5	OUT	src/system/beatmatch/TrackWatcherImpl.cpp	177	void TrackWatcherImpl::JumpHook(float) {}
5	OUT	src/system/beatmatch/TrackWatcherImpl.cpp	178	void TrackWatcherImpl::Restart() {}
5	INL	src/system/beatmatch/TrackWatcherImpl.h	74	virtual void RGFretButtonDown(int) {}
5	INL	src/system/beatmatch/TrackWatcherImpl.h	76	virtual void OutOfRangeSwing() {}
5	INL	src/system/beatmatch/TrackWatcherImpl.h	89	virtual void RegisterFill(int) {}
5	INL	src/system/beatmatch/TrackWatcherImpl.h	90	virtual void ResetFill() {}
5	INL	src/system/beatmatch/TrackWatcherImpl.h	91	virtual void FillSwing(int tick, int slot, int gemID, bool at_end) {}
5	INL	src/system/beatmatch/TrackWatcherImpl.h	93	virtual void FillStop() {}
5	INL	src/system/char/CharHair.h	89	virtual void Highlight() {}
5	INL	src/system/obj/Object.h	797	virtual void Replace(ObjRef *, Hmx::Object *) {}
5	INL	src/system/obj/Object.h	2020	virtual void PreSave(BinStream &) {}
5	INL	src/system/obj/Object.h	2023	virtual void PostSave(BinStream &) {}
5	INL	src/system/obj/Object.h	2025	virtual void Print() {}
5	INL	src/system/obj/Object.h	2044	virtual void PostLoad(BinStream &) {}
5	INL	src/system/rnddx9/Object.h	5	virtual void PreDeviceReset() {}
5	INL	src/system/rnddx9/Object.h	6	virtual void PostDeviceReset() {}
5	INL	src/system/rndobj/Tex.h	47	virtual void UnlockBitmap() {}
5	INL	src/system/rndobj/Tex.h	52	virtual void MakeDrawTarget() {}
5	INL	src/system/rndobj/Tex.h	53	virtual void FinishDrawTarget() {}
5	INL	src/system/rndobj/Tex.h	55	virtual void Compress(AlphaCompress) {}
5	INL	src/system/rndobj/Tex.h	57	virtual void TexelsUnlock() {}
5	INL	src/system/rndobj/Tex.h	59	virtual void Select(int) {}
5	INL	src/system/rndobj/Tex.h	129	virtual void PresyncBitmap() {}
5	INL	src/system/rndobj/Tex.h	130	virtual void SyncBitmap() {}
4	OUT	src/band3/game/SongDB.cpp	393	void SongDB::SpewAllVocalNotes() const {}
4	OUT	src/band3/game/SongDB.cpp	394	void SongDB::SpewTrackSizes() const {}
4	INL	src/band3/game/SongDB.h	38	virtual void AddMultiGem(int, const GameGem &) {}
4	INL	src/band3/game/TrainerPanel.h	56	virtual void HandlePlayerDeleted(Player *) {}
4	OUT	src/band3/meta_band/MetaPanel.cpp	364	void MetaPanel::Draw() {}
4	OUT	src/band3/meta_band/ViewSetting.cpp	75	void ViewSetting::Refresh() {}
4	INL	src/band3/meta_band/ViewSetting.h	71	virtual void Reset() {}
4	INL	src/network/ObjDup/DuplicatedObject.h	33	virtual void UpdateCellStats(int, int, int) {}
4	OUT	src/system/bandobj/BandTrack.cpp	40	void BandTrack::Save(BinStream &) {}
4	INL	src/system/bandobj/BandTrack.h	34	virtual void TrackReset() {}
4	INL	src/system/bandobj/BandTrack.h	35	virtual void ResetSmashers(bool) {}
4	INL	src/system/bandobj/BandTrack.h	37	virtual void Extend(bool) {}
4	INL	src/system/bandobj/BandTrack.h	49	virtual void SetPlayerLocal(float) {}
4	INL	src/system/bandobj/BandTrack.h	64	virtual void RefreshCrowdRating(float, CrowdMeterState) {}
4	INL	src/system/bandobj/BandTrack.h	66	virtual void SetupInstrument() {}
4	INL	src/system/bandobj/BandTrack.h	70	virtual void ResetEffectSelector() {}
4	INL	src/system/bandobj/BandTrack.h	71	virtual void SetupSmasherPlate() {}
4	INL	src/system/bandobj/BandTrack.h	72	virtual void ReleaseSmasherPlate() {}
4	INL	src/system/bandobj/BandTrack.h	73	virtual void TutorialReset() {}
4	INL	src/system/char/CharBones.h	115	virtual void ReallocateInternal() {}
4	INL	src/system/char/CharServoBone.h	29	virtual void Highlight() {}
4	INL	src/system/movie/TexMovie.h	53	void AddFader(Fader *f) {}
4	INL	src/system/rndobj/PropAnim.h	29	virtual void EndAnim() {}
4	INL	src/system/rndobj/Trans.h	181	virtual void UpdatedWorldXfm() {}
4	OUT	src/system/world/Crowd.cpp	580	void WorldCrowd::Delete3DCrowdHandles() {}
3	OUT	src/band3/bandtrack/Gem.cpp	505	void Gem::Miss() {}
3	OUT	src/band3/game/FocusTracker.cpp	53	void FocusTracker::HandleGameOver_(float) {}
3	OUT	src/band3/game/FocusTracker.cpp	154	void FocusTracker::TargetSuccess(int) const {}
3	OUT	src/band3/game/FocusTracker.cpp	460	void StreakFocusTracker::BroadcastSuccess(int) const {}
3	INL	src/band3/game/FocusTracker.h	28	virtual void PlayerAddEnergy(Player *, float) {}
3	INL	src/band3/game/FocusTracker.h	33	virtual void FocusLeaving(FocusFlags) {}
3	INL	src/band3/game/FocusTracker.h	34	virtual void HandleFocusSwitch(float) {}
